Leaf Size,In Sample RMSE,Out of Sample RMSE
899,0.011770075,0.008258633
900,0.011770075,0.008258633
901,0.011770075,0.008258633
902,0.011770075,0.008258633
903,0.011770075,0.008258633
904,0.011770075,0.008258633
905,0.011770075,0.008258633
906,0.011770075,0.008258633
907,0.011770075,0.008258633
908,0.011770075,0.008258633
909,0.011770075,0.008258633
910,0.011770075,0.008258633
911,0.011770075,0.008258633
912,0.011770075,0.008258633
913,0.011770075,0.008258633
914,0.011770075,0.008258633
915,0.011770075,0.008258633
916,0.011770075,0.008258633
917,0.011770075,0.008258633
918,0.011770075,0.008258633
919,0.011770075,0.008258633
920,0.011770075,0.008258633
921,0.011770075,0.008258633
922,0.011770075,0.008258633
923,0.011770075,0.008258633
924,0.011770075,0.008258633
925,0.011770075,0.008258633
926,0.011770075,0.008258633
927,0.011770075,0.008258633
928,0.011770075,0.008258633
929,0.011770075,0.008258633
930,0.011770075,0.008258633
931,0.011770075,0.008258633
932,0.011770075,0.008258633
933,0.011770075,0.008258633
934,0.011770075,0.008258633
935,0.011770075,0.008258633
936,0.011770075,0.008258633
937,0.011770075,0.008258633
938,0.011770075,0.008258633
939,0.011770075,0.008258633
940,0.011770075,0.008258633
941,0.011770075,0.008258633
942,0.011770075,0.008258633
943,0.011770075,0.008258633
944,0.011770075,0.008258633
945,0.011770075,0.008258633
946,0.011770075,0.008258633
947,0.011770075,0.008258633
948,0.011770075,0.008258633
949,0.011770075,0.008258633
950,0.011770075,0.008258633
951,0.011770075,0.008258633
952,0.011770075,0.008258633
953,0.011770075,0.008258633
954,0.011770075,0.008258633
955,0.011770075,0.008258633
956,0.011770075,0.008258633
957,0.011770075,0.008258633
958,0.011770075,0.008258633
959,0.011770075,0.008258633
960,0.011770075,0.008258633
961,0.011770075,0.008258633
962,0.011770075,0.008258633
963,0.011770075,0.008258633
964,0.011770075,0.008258633
965,0.011770075,0.008258633
966,0.011770075,0.008258633
967,0.011770075,0.008258633
968,0.011770075,0.008258633
969,0.011770075,0.008258633
970,0.011770075,0.008258633
971,0.011770075,0.008258633
972,0.011770075,0.008258633
973,0.011770075,0.008258633
974,0.011770075,0.008258633
975,0.011770075,0.008258633
976,0.011770075,0.008258633
977,0.011770075,0.008258633
978,0.011770075,0.008258633
979,0.011770075,0.008258633
980,0.011770075,0.008258633
981,0.011770075,0.008258633
982,0.011770075,0.008258633
983,0.011770075,0.008258633
984,0.011770075,0.008258633
985,0.011770075,0.008258633
986,0.011770075,0.008258633
987,0.011770075,0.008258633
988,0.011770075,0.008258633
